# Core Breaker SFX manifest (canonical). Format: file | event id | description of the sound | usage context
# Clips: MOSS-SoundEffect v2.0, 48 kHz mono Opus 96 kbps VBR, loudness-normalized (I=-20 LUFS), 100 steps. Event ids are functions on window.CBAudio (js/audio.js).
sfx/dive-start.opus | sfxPress | Short punchy pneumatic whoosh with a quick downward pitch sweep, like a pod launching into a shaft, dry, no reverb tail. | Every press (pointer/HOLD button/Space/Enter) that starts a dive; main.js cmdPress.
sfx/hover-release.opus | sfxRelease | Soft airy brake hiss with a gentle rising flutter, like a descent pod catching lift and hovering, short and clean. | Every release that ends a hold and starts hovering; main.js cmdRelease.
sfx/crystal-break.opus | sfxBreak | Sharp glassy crystalline shatter, brittle high-frequency shards scattering, single decisive crack followed by tiny fragment tinkling. | Each 'break' event when the striker shatters a safe crystal segment; pitch-free, momentum shown by caption.
sfx/gap-pass.opus | sfxPass | Fast clean air whoosh, like a small object slipping through a narrow opening, brief rising swoosh with a light whistle. | Each 'pass' event when the striker falls through a gap segment.
sfx/overdrive-surge.opus | sfxOverdrive | Heavy metallic breach: a thick armor plate punched through with a deep crunchy slam, followed by an energetic electric surge swell. | 'overdrive' event: armored segment smashed at full charge.
sfx/charge-pip.opus | sfxCharge | Tiny bright mechanical click-blip, like an energy cell slotting into place with a soft electronic chirp, very short. | The break that fills the charge cell to maximum (charge ready).
sfx/armor-crash.opus | sfxCrash | Violent metal-on-metal collision, a pod smashing into a solid armored wall, deep clang with rattling debris and a low rumble decay. | 'crash' event: striker lands on armor without full charge; run ends.
sfx/core-reached.opus | sfxWin | Triumphant crystalline chime sequence: three rising bell-like tones ringing out as a reactor core breaks open, shimmering harmonic tail. | 'win' event: last layer broken, core reached.
sfx/run-ended.opus | sfxLose | Low mournful power-down, machinery winding to a stop with a falling pitch drone and a soft final clunk. | 'lose' event for time-up or resign (armor crashes use sfxCrash instead).
sfx/ui-tick.opus | sfxUi | Very short dry UI tick, a soft plastic button tap with a subtle high click, neutral and unobtrusive. | Every menu/overlay button click (bind() in main.js) and Back buttons.
sfx/achievement-unlock.opus | sfxAchievement | Bright two-note badge-unlock jingle, small metallic chime followed by a higher sparkly chime, celebratory but compact. | tryUnlock() when an achievement unlocks for the first time (with toast).
sfx/countdown-beep.opus | sfxCountdown | Single clean electronic countdown beep, medium pitch, short envelope, like a timer on a diving console. | Each 3-2-1 countdown step before a round goes active.
sfx/undo-rewind.opus | sfxUndo | Short reversed air whoosh with a quick tape-rewind flutter ending in a soft mechanical snap into place, clean and dry, no reverb tail. | doUndo() when the rules accept a rewind to the last banked release.
sfx/lesson-complete.opus | sfxLesson | Warm short confirmation chime: a soft glassy bell followed by a gentle upward resolving tone, calm and encouraging, brief with a light shimmer tail. | checkLessonGoal() when a Learn lesson goal is met (with toast).
sfx/timer-warning.opus | sfxTimerWarn | Urgent muffled reactor alarm: two quick low electronic klaxon pulses with a slight metallic resonance, short and tense, no tail. | updateHUD() once per round when a containment timer drops under 10 s.
sfx/new-best.opus | sfxNewBest | Bright ascending three-note crystalline arpeggio with a soft sparkling shimmer on the last note, celebratory and compact. | showResults() when the round sets a new personal best (not in Learn).
